ntdid,name,ssw,mode,servicetype,time,Time Service Begins,Time Service Ends,veh_oper,vmt,vmt_rev,Deadhead Miles,Scheduled Vehicle Revenue Miles,Actual Vehicle Hours,Vehicle Revenue Hours,Deadhead Hours,Charter Service Hours,School Bus Hours,Train Cars in Operation,Actual Miles,Revenue Miles,Deadhead Miles,Actual Hours,Revenue Hours,Deadhead Hours,Unlinked Passenger Trips,ADA Trips,Sponsored Service Trips,pmt,Days of Service Operated,Days not operated due to strikes,Strike description,Days not operated due to officially declared emergencies,Emergency description
6,Yakima Transit,N,DR,PT,Average Typical Weekday,600,2000,25,1622,1392,230,,139,124,15,,,,,,,,,,255,,,902,252,0,,0,
6,Yakima Transit,N,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,MB,DO,Annual Total,,,,759838,729280,30558,735150,56265,54641,1624,0,0,,,,,,,,1270755,,,3829857,356,0,,0,
6,Yakima Transit,N,MB,DO,Average Typical Saturday,845,1840,9,1287,1237,50,1241,93,90,3,,,,,,,,,,1832,,,5680,52,0,,0,
6,Yakima Transit,N,MB,DO,Average Typical Sunday,845,1615,6,694,661,33,667,49,47,2,,,,,,,,,,790,,,2607,52,0,,0,
6,Yakima Transit,N,MB,DO,Average Typical Weekday,615,1945,19,2561,2459,102,2480,191,185,6,,,,,,,,,,4420,,,13261,252,0,,0,
6,Yakima Transit,N,MB,DO,Average Weekday - AM Peak,715,915,19,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,MB,DO,Average Weekday - Midday,915,1515,16,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,MB,DO,Average Weekday - Other,,,16,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,MB,DO,Average Weekday - PM Peak,1515,1815,19,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yakima Transit,N,VP,DO,Annual Total,,,,503001,503001,0,,11121,11121,0,0,0,,,,,,,,73817,,,4493768,262,0,,0,
6,Yakima Transit,N,VP,DO,Average Typical Saturday,,,0,0,0,,,0,0,,,,,,,,,,,0,,,0,0,0,,0,
6,Yakima Transit,N,VP,DO,Average Typical Sunday,,,0,0,0,,,0,0,,,,,,,,,,,0,,,0,0,0,,0,
